Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureOutOfBagError
CleanData,1,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 15',1116839470751428698,2.01810081251E7,363.0,41.0,33.0,8.0,0.0,80.48780487804878,19.51219512195122,0.0,0.751891074130106,0.11821138211382116,0.22454470646900593,45.30321709026432,62.28793080381052,96.48809560745366,34.359525220911436,62.12857038654222,2.3533681855476503,0.838037200510035,1.515330985037615,65.78448030617776,1.6044995196628722,2763.602511379257,0.7272727272727273,8.0,0.1,3.0,0.9,27.0,0.2727272727272727,3.0,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.6272727272727273,0.8939393939393939,0.8362970362970363,0.8048780487804879,0.0424667363691754,0.9575332636308246,0.1951219512195122,0.8117886178861788,0.8048780487804879,0.804119241192412,0.7591744544625575,0.9570643814546252,0.8628116463482318,0.7849158249158249,0.8048780487804879,0.095,0.002,0.09,0.01,90.0,10.0,1149976.0,32267.0,4897.0,100.0,45.93495934959352,?,-1.0
CleanData,1,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 15',1116839470751428698,2.01810081251E7,363.0,41.0,33.0,8.0,0.0,80.48780487804878,19.51219512195122,0.0,0.749043611323642,0.10959349593495935,0.21893682498230702,42.00050662838809,60.73232372897758,96.48809560745366,1101.1775947789213,-1004.6894991714676,2.3533681855476503,26.857990116559055,-24.504621931011403,66.97212987100816,1.6334665822197114,2813.495606296594,0.7272727272727273,8.0,0.03333333333333333,1.0,0.9666666666666667,29.0,0.2727272727272727,3.0,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.7428177425541199,0.8984848484848484,0.8606095801217752,0.8048780487804879,0.049365393267832285,0.9506346067321677,0.1951219512195122,0.7986449864498646,0.8048780487804879,0.7963221060782038,0.7541117220630059,0.9489439788220276,0.8486032904236355,0.7880952380952381,0.8048780487804879,0.098,0.002,0.07,0.01,70.0,10.0,1154932.0,32267.0,4897.0,97.5609756097561,45.52845528455285,?,-1.0
CleanData,1,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 15',1116839470751428698,2.01810081251E7,363.0,41.0,29.0,12.0,0.0,70.73170731707317,29.26829268292683,0.0,0.6325616131441374,0.13585365853658538,0.25801777212375765,51.84989909182648,71.24119687100871,97.45921791683251,1117.0301772542962,-1019.5709593374637,2.3770540955325004,27.24463846961698,-24.86758437408448,59.0856860333065,1.4411142934952805,2484.9258941307103,0.6363636363636364,7.0,0.03333333333333333,1.0,0.9666666666666667,29.0,0.36363636363636365,4.0,0.875,0.6363636363636364,0.7368421052631579,0.6742083750340275,0.8878787878787879,0.782715081853013,0.7073170731707317,0.05761165703529529,0.9423883429647045,0.2926829268292683,0.7446060037523452,0.7073170731707317,0.7028482514490216,0.6565662581576193,0.9157916954359838,0.8067495585902913,0.6381605528973949,0.7073170731707317,0.086,0.002,0.07,0.0,70.0,0.0,1115079.0,32267.0,4897.0,92.6829268292683,46.74796747967479,?,-1.0
CleanData,1,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 15',1116839470751428698,2.01810081251E7,363.0,41.0,34.0,7.0,0.0,82.92682926829268,17.073170731707318,0.0,0.7778637770897833,0.12178861788617885,0.22920683313924908,46.48183652875886,63.28621857885639,97.45921791683251,1105.824659578329,-1008.3654416614964,2.3770540955325004,26.971333160447045,-24.59427906491455,63.243915897332414,1.5425345340812784,2659.8056959331466,0.9090909090909091,10.0,0.06666666666666667,2.0,0.9333333333333333,28.0,0.09090909090909091,1.0,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.8203481518309587,0.9727272727272728,0.9135609340154793,0.8292682926829268,0.055822026944571834,0.9441779730554282,0.17073170731707318,NaN,0.8292682926829268,NaN,NaN,0.9459193368632839,0.859833292492424,NaN,0.8292682926829268,0.1,0.002,0.08,0.01,80.0,10.0,1135345.0,32267.0,4897.0,97.5609756097561,47.15447154471545,?,-1.0
CleanData,1,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 15',1116839470751428698,2.01810081251E7,364.0,40.0,31.0,9.0,0.0,77.5,22.5,0.0,0.708502024291498,0.11716666666666664,0.23655513804044362,44.86589047003019,65.55841982746679,94.09527615246172,38.56667585595867,55.52860029650305,2.352381903811543,0.9641668963989668,1.3882150074125763,60.72435594723583,1.5181088986808957,2550.937061539238,0.9090909090909091,10.0,0.1724137931034483,5.0,0.8275862068965517,24.0,0.09090909090909091,1.0,0.6666666666666666,0.9090909090909091,0.7692307692307692,0.6794490361207937,0.9435736677115988,0.909387351778656,0.775,0.0603423060319612,0.9396576939680388,0.225,NaN,0.775,NaN,NaN,0.9496740230224804,0.8337719979296067,NaN,0.775,0.083,0.002,0.07,0.01,70.0,10.0,1166865.0,32352.0,4812.0,97.5,41.66666666666667,?,-1.0
CleanData,1,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 15',1116839470751428698,2.01810081251E7,364.0,40.0,33.0,7.0,0.0,82.5,17.5,0.0,0.7751004016064257,0.11655555555555559,0.2214267707726751,44.5090450388464,61.176153794162154,95.5195312497878,30.985877334413043,64.53365391537476,2.387988281244695,0.7746469333603261,1.613341347884369,65.43096129747109,1.635774032436777,2753.0908413979437,0.8181818181818182,9.0,0.10344827586206896,3.0,0.896551724137931,26.0,0.18181818181818182,2.0,0.75,0.8181818181818182,0.7826086956521738,0.696417806248397,0.9122257053291536,0.8200019677292405,0.825,0.05001311801514641,0.9499868819848535,0.175,0.814423076923077,0.825,0.8125031055900621,0.7730558887254224,0.9592412990359238,0.8611904761904761,0.7999585921325052,0.825,0.081,0.002,0.06,0.01,60.0,10.0,1157858.0,32352.0,4812.0,100.0,46.66666666666667,?,-1.0
CleanData,1,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 15',1116839470751428698,2.01810081251E7,364.0,40.0,27.0,13.0,0.0,67.5,32.5,0.0,0.5755102040816327,0.12745000000000004,0.25954922461837565,48.43601814602417,71.3246298056594,96.98041627080613,1117.6042865667832,-1020.6238702959771,2.4245104067701533,27.940107164169582,-25.51559675739943,56.72959254119712,1.4182398135299281,2390.973012321319,0.7,7.0,0.16666666666666666,5.0,0.8333333333333334,25.0,0.3,3.0,0.5833333333333334,0.7,0.6363636363636365,0.5039526306789697,0.8916666666666667,0.8494009216589861,0.675,0.09969654528478059,0.9003034547152193,0.325,NaN,0.675,NaN,NaN,0.9289450374744493,0.8227585720730882,NaN,0.675,0.086,0.003,0.08,0.0,80.0,0.0,1125831.0,32352.0,4812.0,90.0,41.250000000000014,?,-1.0
CleanData,1,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 15',1116839470751428698,2.01810081251E7,364.0,40.0,35.0,5.0,0.0,87.5,12.5,0.0,0.8392282958199356,0.10274999999999998,0.20148821305475914,39.04904562184372,55.36935133389366,96.98041627080613,25.856704980765908,71.12371129004022,2.4245104067701533,0.6464176245191477,1.7780927822510055,71.12371129004016,1.778092782251004,2997.639620047068,1.0,10.0,0.1,3.0,0.9,27.0,0.0,0.0,0.7692307692307693,1.0,0.8695652173913044,0.8320502943378437,0.98,0.9354365079365079,0.875,0.04642857142857143,0.9535714285714285,0.125,0.8994505494505495,0.875,0.8550286669851888,0.8429973667530298,0.9825385154061624,0.9269549894549896,0.8582974996018474,0.875,0.087,0.002,0.08,0.0,80.0,0.0,1189565.0,32352.0,4812.0,100.0,44.58333333333335,?,-1.0
CleanData,1,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 15',1116839470751428698,2.01810081251E7,364.0,40.0,33.0,7.0,0.0,82.5,17.5,0.0,0.7710547833197056,0.12823437499999998,0.2394456012616262,49.27822615544403,66.6249281881594,93.44654248749775,39.711464887589855,53.735077599907896,2.3361635621874437,0.9927866221897463,1.3433769399976974,60.124568937491865,1.5031142234372967,2523.9003866256744,0.6363636363636364,7.0,0.034482758620689655,1.0,0.9655172413793104,28.0,0.36363636363636365,4.0,0.875,0.6363636363636364,0.7368421052631579,0.6718710131470252,0.8667711598746082,0.8243216234595545,0.825,0.06482044925249793,0.9351795507475021,0.175,0.8391544117647058,0.825,0.8156113769271665,0.7733689552334464,0.9361289534971077,0.8983241310282386,0.8143895091263512,0.825,0.087,0.002,0.08,0.0,80.0,0.0,1147288.0,32352.0,4812.0,95.0,48.750000000000014,?,-1.0
CleanData,1,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 15',1116839470751428698,2.01810081251E7,364.0,40.0,33.0,7.0,0.0,82.5,17.5,0.0,0.7668609492089924,0.10997222222222222,0.2311128472157014,42.26040043852059,64.30636757566882,93.44654248749775,37.5686110583976,55.87793142910015,2.3361635621874437,0.93921527645994,1.3969482857275037,61.37817577463883,1.5344543943659708,2576.5241116163884,1.0,11.0,0.06896551724137931,2.0,0.9310344827586207,27.0,0.0,0.0,0.8461538461538461,1.0,0.9166666666666666,0.8875800856756891,0.9905956112852664,0.975068870523416,0.825,0.06063218390804598,0.9393678160919541,0.175,0.8300881410256409,0.825,0.8053674055829226,0.7790027142146057,0.9482852527984373,0.8608949547184841,0.7387110016420362,0.825,0.096,0.002,0.07,0.0,70.0,0.0,1156781.0,32352.0,4812.0,95.0,42.91666666666668,?,-1.0
