"","id","huml","humw","ulnal","ulnaw","tibl","tibw","type"
"1",0,80.78,6.68,72.01,4.88,5.5,4.03,"SW"
"2",1,88.91,6.63,80.53,5.59,80.22,4.51,"SW"
"3",2,79.97,6.37,69.26,5.28,75.35,4.04,"SW"
"4",3,77.65,5.7,65.76,4.77,69.17,3.4,"SW"
"5",4,62.8,4.84,52.09,3.73,56.27,2.96,"SW"
"6",5,61.92,4.78,50.46,3.47,56.95,2.73,"SW"
"7",6,79.73,5.94,67.39,4.5,71.26,3.56,"SW"
"8",7,86.98,5.68,74.52,4.55,76.02,3.81,"SW"
"9",8,118.2,7.82,116.64,6.13,110,5.58,"SW"
"10",9,145,10.42,144,7.05,120,7.31,"SW"
"11",10,165,11.45,156,8.68,143,8.25,"SW"
"12",11,186,9.83,152,8.76,185,8.07,"SW"
"13",12,172,8.44,142,8.43,180,9.62,"SW"
"14",13,148.91,6.78,121.35,6.5,155,6.68,"SW"
"15",14,149.19,6.98,121.48,6.21,155,6.61,"SW"
"16",15,140.59,6.59,115.97,5.81,166,7.83,"SW"
"17",16,135.23,6.22,108.78,5.83,157,7.18,"SW"
"18",17,124.53,6.01,100.37,5.82,145,7.12,"SW"
"19",18,127.03,6.18,102.53,5.64,150,6.78,"SW"
"20",19,106.02,4.47,95.79,4.33,129.59,6.94,"SW"
"21",20,113.84,4.8,100.71,4.39,133.27,7.41,"SW"
"22",21,108.62,5.04,97.7,4.66,128,7.14,"SW"
"23",22,110.33,5.86,97.1,4.6,126,7.86,"SW"
"24",23,63.62,3.42,59,2.75,74.66,4.38,"SW"
"25",24,70.73,3.69,65.19,2.93,80.42,4.36,"SW"
"26",25,71.65,3.37,66.11,2.77,77.11,3.94,"SW"
"27",26,47.51,7.23,32.49,8.26,75.2,4.95,"SW"
"28",27,46.2,7.06,32.73,8.58,75.99,4.77,"SW"
"29",28,41.13,6.71,31,7.73,71.94,4.54,"SW"
"30",29,72.5,14.78,45.83,10.33,128.75,6.49,"SW"
"31",30,75.05,12.55,44.05,8.62,112.6,7.22,"SW"
"32",31,175,10.69,228,8.65,64.53,4.41,"SW"
"33",32,188,11.35,250,9.64,69.06,5.13,"SW"
"35",34,185,10.91,235,8.02,68.67,4.24,"SW"
"36",35,179,11.16,222,8.57,65.18,4.51,"SW"
"37",36,183,11.37,280,9.22,68.09,4.61,"SW"
"38",37,185,12.47,242,9.8,68.01,4.66,"SW"
"41",40,100.62,6.6,110,5.8,55.1,3.19,"SW"
"42",41,100.05,6.36,107.8,5.83,54.97,3.38,"SW"
"43",42,147,8.44,155,5.9,108.97,7.63,"SW"
"44",43,156,8.38,167,6.02,112,7.73,"SW"
"45",44,127.39,6.81,131,4.83,87.93,6.1,"SW"
"46",45,108.84,6.98,116,4.51,87.72,7.11,"SW"
"47",46,132,8.27,142,5.68,117.14,7.9,"SW"
"48",47,177,9.21,193,7.48,90.71,6.69,"SW"
"49",48,182,9.14,196,7.41,91,6.55,"SW"
"50",49,150,8.05,167,6.66,78.22,5.62,"SW"
"51",50,171,8.39,187,6.68,87.57,6.34,"SW"
"52",51,161,8.22,181,6.72,69.04,5.18,"SW"
"53",52,175,9.12,201,7.24,74.38,5.43,"SW"
"54",53,22.63,2.48,27.24,2.03,37.69,1.82,"SW"
"55",54,24.11,2.33,28.05,1.89,40.13,1.68,"SW"
"56",55,28.98,2.74,36.37,2.29,50.89,2.19,"SW"
"62",61,23.67,1.92,20.75,1.82,45.36,1.58,"SW"
"63",62,30.11,2.54,28.72,2.34,57.89,2.38,"SW"
"64",63,36.5,2.46,34.42,2.25,42.5,1.48,"SW"
"65",64,83.45,4.43,81.59,4,79.1,3.1,"SW"
"66",65,86.23,4.53,83.31,3.7,83.26,3.64,"SW"
"67",66,34.38,1.88,35.11,1.71,37.47,1.29,"SW"
"68",67,32.47,1.94,31.74,1.78,33.29,1.17,"SW"
"69",68,38.34,2.37,36.96,2.01,35.46,1.27,"SW"
"70",69,41.21,2.5,43.1,2.43,44.69,1.58,"SW"
"71",70,26.63,1.63,27.19,1.72,31.56,1.07,"SW"
"72",71,26.81,1.66,26.48,1.51,31.55,1.01,"SW"
"73",72,45.26,3.29,36.73,3.1,49.09,2.38,"SW"
"74",73,43.45,3.2,34.19,3.22,48.1,2.09,"SW"
"75",74,99.45,4.92,93.55,4.07,86.62,3.61,"SW"
"76",75,106.94,5.72,104.57,4.37,93.84,4.13,"SW"
"77",76,109.25,5.97,104.78,4.8,94.23,4.36,"SW"
"78",77,107.25,6.13,105.17,4.81,92.31,4.53,"SW"
"79",78,53.12,3,52.74,2.8,52.24,2.14,"SW"
"80",79,54.19,3.16,54.28,3.21,53.7,2.04,"SW"
"81",80,64.72,4.04,61.4,3.13,64.58,2.65,"SW"
"82",81,69.12,4.35,65.47,3.65,67.5,2.63,"SW"
"83",82,143,6.94,143.86,5.47,108.1,5.31,"SW"
"84",83,154.3,7.46,154.66,6.09,112.75,5.36,"SW"
"85",84,90.49,4.7,97.02,4.11,58.83,2.67,"SW"
