"","id","huml","humw","ulnal","ulnaw","feml","femw","tibl","tibw","tarl","tarw","type","length.mean","diameter.mean"
"1",0,80.78,6.68,72.01,4.88,41.81,3.7,5.5,4.03,38.7,3.84,"SW",47.76,4.626
"2",1,88.91,6.63,80.53,5.59,47.04,4.3,80.22,4.51,41.5,4.01,"SW",67.64,5.008
"3",2,79.97,6.37,69.26,5.28,43.07,3.9,75.35,4.04,38.31,3.34,"SW",61.192,4.586
"4",3,77.65,5.7,65.76,4.77,40.04,3.52,69.17,3.4,35.78,3.41,"SW",57.68,4.16
"5",4,62.8,4.84,52.09,3.73,33.95,2.72,56.27,2.96,31.88,3.13,"SW",47.398,3.476
"6",5,61.92,4.78,50.46,3.47,49.52,4.41,56.95,2.73,29.07,2.83,"SW",49.584,3.644
"7",6,79.73,5.94,67.39,4.5,42.07,3.41,71.26,3.56,37.22,3.64,"SW",59.534,4.21
"8",7,86.98,5.68,74.52,4.55,44.46,3.78,76.02,3.81,37.94,3.81,"SW",63.984,4.326
"9",8,118.2,7.82,116.64,6.13,59.33,5.45,110,5.58,61.62,4.37,"SW",93.158,5.87
"10",9,145,10.42,144,7.05,70.96,7.44,120,7.31,78.67,6.34,"SW",111.726,7.712
"11",10,165,11.45,156,8.68,80.25,7.85,143,8.25,86.61,6.63,"SW",126.172,8.572
"12",11,186,9.83,152,8.76,56.02,7.02,185,8.07,90.8,4.59,"SW",133.964,7.654
"13",12,172,8.44,142,8.43,52.18,6.68,180,9.62,82.58,5.5,"SW",125.752,7.734
"14",13,148.91,6.78,121.35,6.5,44.29,6.33,155,6.68,73.71,4.24,"SW",108.652,6.106
"15",14,149.19,6.98,121.48,6.21,43.33,5.39,155,6.61,75.65,3.36,"SW",108.93,5.71
"16",15,140.59,6.59,115.97,5.81,39.75,5.61,166,7.83,74.86,3.52,"SW",107.434,5.872
"17",16,135.23,6.22,108.78,5.83,37.99,5.13,157,7.18,72.44,3.53,"SW",102.288,5.578
"18",17,124.53,6.01,100.37,5.82,34.54,5.43,145,7.12,65.92,3.28,"SW",94.072,5.532
"19",18,127.03,6.18,102.53,5.64,36.52,4.89,150,6.78,67.27,3.06,"SW",96.67,5.31
"20",19,106.02,4.47,95.79,4.33,41.96,4.8,129.59,6.94,70.29,3.35,"SW",88.73,4.778
"21",20,113.84,4.8,100.71,4.39,43.95,5.08,133.27,7.41,70.91,2.69,"SW",92.536,4.874
"22",21,108.62,5.04,97.7,4.66,45.08,5.78,128,7.14,65.48,4.25,"SW",88.976,5.374
"23",22,110.33,5.86,97.1,4.6,43.82,5.73,126,7.86,64.17,3.84,"SW",88.284,5.578
"24",23,63.62,3.42,59,2.75,30.16,2.92,74.66,4.38,39.26,1.97,"SW",53.34,3.088
"25",24,70.73,3.69,65.19,2.93,32.52,3.54,80.42,4.36,43.7,2.28,"SW",58.512,3.36
"26",25,71.65,3.37,66.11,2.77,36.98,3.06,77.11,3.94,38.04,2.83,"SW",57.978,3.194
"27",26,47.51,7.23,32.49,8.26,50.29,5,75.2,4.95,22.51,10.73,"SW",45.6,7.234
"28",27,46.2,7.06,32.73,8.58,52.15,5.11,75.99,4.77,23.24,10.24,"SW",46.062,7.152
"29",28,41.13,6.71,31,7.73,49.51,4.69,71.94,4.54,22.46,9.45,"SW",43.208,6.624
"30",29,72.5,14.78,45.83,10.33,77.02,7.76,128.75,6.49,32.48,13.82,"SW",71.316,10.636
"31",30,75.05,12.55,44.05,8.62,75.31,6.76,112.6,7.22,34.31,14.09,"SW",68.264,9.848
"32",31,175,10.69,228,8.65,47.13,6.16,64.53,4.41,18.42,3.65,"SW",106.616,6.712
"33",32,188,11.35,250,9.64,52.49,7.6,69.06,5.13,19.52,6.51,"SW",115.814,8.046
"35",34,185,10.91,235,8.02,51,6.71,68.67,4.24,20.14,6.3,"SW",111.962,7.236
"36",35,179,11.16,222,8.57,47.51,6.39,65.18,4.51,19.67,6.64,"SW",106.672,7.454
"37",36,183,11.37,280,9.22,52.34,7.24,68.09,4.61,20.08,6.41,"SW",120.702,7.77
"38",37,185,12.47,242,9.8,52.39,7.5,68.01,4.66,19.44,7.21,"SW",113.368,8.328
"41",40,100.62,6.6,110,5.8,36.11,2.93,55.1,3.19,28.81,4.82,"SW",66.128,4.668
"42",41,100.05,6.36,107.8,5.83,36.79,3.19,54.97,3.38,27.78,5.07,"SW",65.478,4.766
"43",42,147,8.44,155,5.9,58.41,6.87,108.97,7.63,63.4,6.7,"SW",106.556,7.108
"44",43,156,8.38,167,6.02,59.3,6.89,112,7.73,66.32,6.91,"SW",112.124,7.186
"45",44,127.39,6.81,131,4.83,49.69,5.04,87.93,6.1,52.88,5.1,"SW",89.778,5.576
"46",45,108.84,6.98,116,4.51,48.81,5.31,87.72,7.11,47.46,4.93,"SW",81.766,5.768
"47",46,132,8.27,142,5.68,55.95,6.45,117.14,7.9,61.71,6.02,"SW",101.76,6.864
"48",47,177,9.21,193,7.48,58.5,7.02,90.71,6.69,55.77,8.79,"SW",114.996,7.838
"49",48,182,9.14,196,7.41,60.48,6.76,91,6.55,57.24,8.23,"SW",117.344,7.618
"50",49,150,8.05,167,6.66,52.98,5.9,78.22,5.62,46.05,7.97,"SW",98.85,6.84
"51",50,171,8.39,187,6.68,58.67,6.7,87.57,6.34,50.44,8.41,"SW",110.936,7.304
"52",51,161,8.22,181,6.72,49.83,5.36,69.04,5.18,37.31,7.44,"SW",99.636,6.584
"53",52,175,9.12,201,7.24,55.21,6.08,74.38,5.43,39.62,7.87,"SW",109.042,7.148
