@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,63,0,341,0,1,1,0.155941,1,0.844059,0.269807,1,1,0
1,63,0,261,80,0.765396,1,0.194444,1,0.805556,0.325581,0.80198,1.246914,0.01
2,63,0,230,111,0.674487,1,0.215017,1,0.784983,0.353933,0.725248,1.37884,0.02
3,62,1,209,132,0.612903,0.984127,0.228782,0.984127,0.771218,0.371257,0.670792,1.467112,0.03
4,61,2,189,152,0.554252,0.968254,0.244,0.968254,0.756,0.389776,0.618812,1.564698,0.04
5,60,3,173,168,0.507331,0.952381,0.257511,0.952381,0.742489,0.405405,0.576733,1.651339,0.05
6,60,3,164,177,0.480938,0.952381,0.267857,0.952381,0.732143,0.418118,0.554455,1.717687,0.06
7,60,3,154,187,0.451613,0.952381,0.280374,0.952381,0.719626,0.433213,0.529703,1.797953,0.07
8,59,4,144,197,0.422287,0.936508,0.29064,0.936508,0.70936,0.443609,0.502475,1.863789,0.08
9,59,4,136,205,0.398827,0.936508,0.302564,0.936508,0.697436,0.457364,0.482673,1.940252,0.09
10,58,5,126,215,0.369501,0.920635,0.315217,0.920635,0.684783,0.469636,0.455446,2.021394,0.094
11,58,5,125,216,0.366569,0.920635,0.31694,0.920635,0.68306,0.471545,0.45297,2.03244,0.1
12,57,6,115,226,0.337243,0.904762,0.331395,0.904762,0.668605,0.485106,0.425743,2.125138,0.11
13,56,7,102,239,0.29912,0.888889,0.35443,0.888889,0.64557,0.506787,0.391089,2.272855,0.12
14,56,7,90,251,0.26393,0.888889,0.383562,0.888889,0.616438,0.535885,0.361386,2.459665,0.13
15,56,7,80,261,0.234604,0.888889,0.411765,0.888889,0.588235,0.562814,0.336634,2.640523,0.14
16,56,7,75,266,0.219941,0.888889,0.427481,0.888889,0.572519,0.57732,0.324257,2.741306,0.15
17,56,7,69,272,0.202346,0.888889,0.448,0.888889,0.552,0.595745,0.309406,2.872889,0.16
18,56,7,65,276,0.190616,0.888889,0.46281,0.888889,0.53719,0.608696,0.299505,2.96786,0.17
19,55,8,63,278,0.184751,0.873016,0.466102,0.873016,0.533898,0.607735,0.292079,2.98897,0.173333
20,54,9,63,278,0.184751,0.857143,0.461538,0.857143,0.538462,0.6,0.289604,2.959707,0.18
21,53,10,60,281,0.175953,0.84127,0.469027,0.84127,0.530973,0.602273,0.279703,3.007726,0.19
22,52,11,55,286,0.16129,0.825397,0.485981,0.825397,0.514019,0.611765,0.264851,3.116452,0.2
23,51,12,50,291,0.146628,0.809524,0.50495,0.809524,0.49505,0.621951,0.25,3.238095,0.21
24,51,12,47,294,0.13783,0.809524,0.520408,0.809524,0.479592,0.63354,0.242574,3.337221,0.22
25,50,13,46,295,0.134897,0.793651,0.520833,0.793651,0.479167,0.628931,0.237624,3.339947,0.23
26,50,13,43,298,0.1261,0.793651,0.537634,0.793651,0.462366,0.641026,0.230198,3.447687,0.24
