@relation InstanceResultListener

@attribute Key_Dataset {CleanData}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.FilteredClassifier}
@attribute Key_Scheme_options {'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 20.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 30.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 40.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 50.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 60.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 70.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 80.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"'}
@attribute Key_Scheme_version_ID {-4523450618538717400}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

CleanData,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20181008.114,363,41,33,8,0,80.487805,19.512195,0,0.751515,0.068874,0.252812,26.395111,70.129142,96.488096,67.755297,28.732799,2.353368,1.652568,0.7008,74.418787,1.815092,3126.329261,0.636364,7,0.066667,2,0.933333,28,0.363636,4,0.777778,0.636364,0.7,0.609824,0.784848,0.59251,0.804878,0.047778,0.952222,0.195122,0.812331,0.804878,0.80453,0.756037,0.87855,0.703719,0.81456,0.804878,0.003,0.022,0,0.02,0,20,33086,32267,4897,80.487805,16.666667,?
CleanData,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20181008.114,363,41,39,2,0,95.121951,4.878049,0,0.937548,0.020972,0.12654,8.037363,35.101658,96.488096,17.609985,78.878111,2.353368,0.429512,1.923856,90.929355,2.217789,3819.937361,0.818182,9,0,0,1,30,0.181818,2,1,0.818182,0.9,0.875811,0.909091,0.866962,0.95122,0.015505,0.984495,0.04878,0.956446,0.95122,0.95017,0.936836,0.967857,0.920753,0.96434,0.95122,0.001,0.007,0,0,0,0,33086,32267,4897,95.121951,16.666667,?
CleanData,1,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20181008.114,363,41,28,13,0,68.292683,31.707317,0,0.605769,0.108792,0.322229,41.521441,88.970654,97.459218,109.543057,-12.083839,2.377054,2.671782,-0.294728,60.717131,1.480906,2553.538448,0.636364,7,0.1,3,0.9,27,0.363636,4,0.7,0.636364,0.666667,0.553395,0.768182,0.543016,0.682927,0.061132,0.938868,0.317073,0.725,0.682927,0.691,0.627561,0.810898,0.567861,0.62568,0.682927,0.001,0.006,0,0,0,0,33086,32267,4897,68.292683,16.666667,?
CleanData,1,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20181008.114,363,41,33,8,0,80.487805,19.512195,0,0.74395,0.068874,0.252812,26.286352,69.803794,97.459218,67.755297,29.703921,2.377054,1.652568,0.724486,70.789665,1.726577,2977.152052,0.909091,10,0.133333,4,0.866667,26,0.090909,1,0.714286,0.909091,0.8,0.724832,0.887879,0.673741,0.804878,0.071071,0.928929,0.195122,?,0.804878,?,?,0.866903,0.684508,?,0.804878,0.001,0.003,0,0,0,0,33086,32267,4897,80.487805,16.666667,?
CleanData,1,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20181008.114,364,40,34,6,0,85,15,0,0.806295,0.054092,0.22169,20.713037,61.438826,94.095276,51.042083,43.053193,2.352382,1.276052,1.07633,74.786231,1.869656,3141.654853,0.909091,10,0.103448,3,0.896552,26,0.090909,1,0.769231,0.909091,0.833333,0.768041,0.902821,0.724301,0.85,0.03935,0.96065,0.15,0.857788,0.85,0.843452,0.815406,0.905325,0.757933,0.803968,0.85,0.001,0.004,0,0.01,0,10,33171,32352,4812,85,16.666667,?
CleanData,1,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20181008.114,364,40,33,7,0,82.5,17.5,0,0.778306,0.062275,0.239437,23.781112,66.152149,95.519531,59.404027,36.115504,2.387988,1.485101,0.902888,74.892074,1.872302,3151.179195,0.818182,9,0.068966,2,0.931034,27,0.181818,2,0.818182,0.818182,0.818182,0.749216,0.874608,0.719421,0.825,0.037799,0.962201,0.175,0.835417,0.825,0.824879,0.786993,0.8936,0.741383,0.806823,0.825,0,0.002,0,0,0,0,33171,32352,4812,82.5,16.666667,?
CleanData,1,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20181008.114,364,40,31,9,0,77.5,22.5,0,0.707792,0.078643,0.271473,29.887328,74.601269,96.980416,76.127915,20.852502,2.42451,1.903198,0.521313,64.803918,1.620098,2731.280317,0.9,9,0.1,3,0.9,27,0.1,1,0.75,0.9,0.818182,0.755929,0.9,0.7,0.775,0.067904,0.932096,0.225,?,0.775,?,?,0.853548,0.629375,?,0.775,0.001,0.001,0,0.01,0,10,33171,32352,4812,77.5,16.666667,?
CleanData,1,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20181008.114,364,40,33,7,0,82.5,17.5,0,0.777778,0.062275,0.239437,23.667123,65.797851,96.980416,59.404027,37.576389,2.42451,1.485101,0.93941,76.379078,1.909477,3219.136719,0.8,8,0.033333,1,0.966667,29,0.2,2,0.888889,0.8,0.842105,0.794996,0.883333,0.761111,0.825,0.052077,0.947923,0.175,0.840079,0.825,0.823507,0.782648,0.886461,0.721885,0.826248,0.825,0,0.002,0,0,0,0,33171,32352,4812,82.5,16.666667,?
CleanData,1,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20181008.114,364,40,31,9,0,77.5,22.5,0,0.709208,0.078643,0.271473,30.221019,75.536405,93.446542,76.127915,17.318628,2.336164,1.903198,0.432966,70.606412,1.76516,2963.905684,0.727273,8,0.137931,4,0.862069,25,0.272727,3,0.666667,0.727273,0.695652,0.574239,0.794671,0.559848,0.775,0.082866,0.917134,0.225,0.784226,0.775,0.776403,0.695575,0.846067,0.675744,0.840338,0.775,0.001,0.002,0,0.01,0,10,33171,32352,4812,77.5,16.666667,?
